1715845107083,50833
22528,26
23552,20
23554,16
21507,10
22532,22
21509,30
23557,1
22536,20
21513,6
22538,20
23563,1
22540,18
23565,20
22542,23
21520,9
22545,20
21522,3
22547,20
21524,21
22558,7
22560,4
22562,20
21540,13
22564,25
23588,1
23590,6
21543,13
22568,15
23592,5
21545,13
21547,10
23595,3
23599,10
21553,11
23602,20
23605,10
23607,6
23611,20
23613,3
23615,8
21571,15
23620,4
22599,73
23626,5
23628,4
21581,45
23631,6
23633,3
23635,10
21594,11
21598,10
23646,10
23648,14
23652,29
23654,5
23656,4
21611,8
23661,95
23665,4
23667,4
23669,6
23671,6
23673,5
22657,12
23681,15
21635,15
22659,15
23685,154
22662,4
21639,10
22664,11
23688,77
23690,25
23693,12
23696,22
9361,2
22674,10
23699,7
21653,8
22677,9
22679,6
21656,5
23706,10
21660,28
23708,15
23711,3
21664,66
23717,10
23719,17
21672,15
22697,10
23721,12
23726,6
23728,1
22706,15
23730,1
23736,7
22715,10
23743,8
22720,8
21697,12
23745,7
23747,15
21701,7
23749,10
23751,6
21705,9
23753,5
21710,5
23759,30
21714,11
23766,6
21719,5
22745,5
21724,2
23775,67
21731,3
23779,15
21733,5
23781,16
21735,21
23783,18
23795,2
23802,18
23804,7
23810,10
23812,2
23817,47
23824,20
23827,10
23830,15
23833,12
23835,10
23837,7
23841,7
23844,12
23849,6
23851,15
21805,15
23853,2
23855,9
21809,11
23857,6
22837,4
22839,14
23863,6
23868,12
22847,5
22849,8
23875,25
22852,15
21829,23
23877,3
22854,11
21832,26
23881,6
22858,14
23883,5
22860,10
22862,5
23886,12
22864,10
21842,5
23890,15
23897,3
23899,2
23904,1
23907,3
22884,3
23912,68
23915,44
23918,42
22897,9
23924,10
23926,15
22905,8
23929,5
23931,23
22908,15
23935,246
22912,13
23938,454
22915,7
23941,5
22918,7
22921,15
21899,5
22923,6
23949,166
21903,3
21905,6
23954,15
22935,3
21912,12
23960,73
21914,25
23962,360
23964,713
22941,10
22943,21
22948,5
23972,3
22950,15
21929,30
21932,20
22956,6
22958,7
22961,31
21938,3
23986,32
23989,18
21943,9
23992,78
21945,169
23994,347
23996,30
21950,20
21956,22
21959,67
24007,5
22985,10
24012,15
22989,10
21966,331
24014,10
21969,22
24017,8
24019,10
24021,21
21974,12
21989,10
23013,3
23015,20
21993,20
21995,51
23019,7
23021,3
23024,65
23032,14
23034,10
23036,20
23038,20
22015,20
23041,20
23043,156
23056,8
23058,7
23060,12
23064,7
23066,18
23068,20
23070,15
23075,8
22053,10
23080,8
22058,5
23086,10
23089,8
22067,15
23094,18
23097,15
23103,4
23105,5
23107,5
23109,5
23111,50
22092,7
23116,20
23122,11
23124,8
22108,10
22110,8
22115,7
23142,16
21098,8
23146,12
23148,10
21102,17
21105,10
21110,8
23160,13
21113,2
23162,15
22139,7
23164,7
21118,12
23167,10
21121,4
23173,15
5766,500
23175,13
21132,8
21134,10
22159,11
23185,18
22168,10
23192,7
21148,11
22172,15
22174,7
23198,4
22176,20
21154,3
23203,4
21156,4
21158,3
21160,9
21165,4
23214,10
21168,6
21170,10
22196,12
23220,50
21173,5
22198,10
21175,23
22200,11
22202,12
23226,41
22204,9
22206,15
23231,40
21184,5
22208,10
23233,8
22210,6
22212,16
23240,8
23244,15
23252,10
22229,8
22234,47
23260,8
22238,4
22244,5
22246,15
23270,7
22248,10
22250,9
23274,3
23276,8
22254,9
21232,12
23287,15
23289,77
22274,7
23298,10
22278,503
23303,37
23310,15
23312,5
23315,5
23317,16
23338,4
23345,16
21298,10
21302,5
22327,9
21304,21
22329,160
21306,56
23356,11
21309,21
23358,5
21311,22
23361,20
21314,21
22338,118
21316,21
22340,80
23365,20
21319,21
23367,35
22344,15
21322,66
22346,12
21324,21
23372,161
21326,5
23374,10
21329,143
22354,35
21331,70
23379,2
23383,34
21339,10
22363,5
22365,12
22367,10
21344,21
23392,10
22369,5
23394,11
21349,10
22374,39
21352,10
22376,13
23400,10
23402,10
22379,340
21356,10
23404,10
22383,9
21363,10
21365,5
21367,21
22391,8
21371,21
23421,3
21374,5
21376,23
23424,10
21378,7
23426,166
22404,8
23435,10
23439,9
21395,5
23443,10
23446,3
23451,13
23453,10
23461,21
23463,10
23468,10
21422,11
23470,4
23473,3
21427,10
21430,7
21436,8
22475,20
22480,67
23504,15
21463,10
23511,15
22491,10
23516,5
22495,298
22497,10
23522,10
22499,3
23524,3
22501,3
23526,4
22504,74
23528,3
23532,5
22509,160
22513,501
23537,6
22518,45
23545,7
23547,22
21500,6
22524,10
22526,20
23550,15
21503,20
